"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"PTPRE",1.9383927274255,6.18194120171068,99.012799128769,2.50875120070567e-23,3.42717229244227e-21
"LOC100126784",2.07786609152133,2.31833392651486,98.759265320263,2.85139756496664e-23,3.86723358955045e-21
"ADAM12",3.223963201693,3.23768670862191,98.6514323722253,3.01096737049477e-23,4.02572743748705e-21
"EPHB3",2.18267269038806,4.58370535445592,98.2222518525755,3.73964040449425e-23,4.89581256288372e-21
"SPTBN2",2.23448607205851,4.32777491498238,98.1269702948781,3.92397859187458e-23,5.10171340786341e-21
"CYP26A1",3.72523461590676,-0.958186581150876,98.0013071900779,4.18106463076707e-23,5.39872811090553e-21
"EBI3",2.24159421009897,2.25442702827541,97.5362355685187,5.28796674604557e-23,6.78154755758171e-21
"SPATA12",2.11058956182277,-1.79488607445318,97.4891341672597,5.41526226173447e-23,6.89787325393366e-21
"HYOU1",-1.56557874629564,7.79476163190228,97.1513485649438,6.42255227172983e-23,8.07186369511005e-21
"DUOXA2",-2.91053844277307,6.07915788964364,97.0921986007893,6.61731113816495e-23,8.26155957461494e-21
"NKX3-2",3.24591465993987,-0.745699476481477,97.0498094850911,6.76050594105962e-23,8.38480644742474e-21
"KCNIP3",-2.2378610505066,5.37639046099407,96.9845809240051,6.98693225364572e-23,8.60899652586464e-21
"PAIP2B",-1.92452024007852,3.73147253226446,96.9585125932747,7.07953000402277e-23,8.66644802830112e-21
"RP1",3.842504501989,-0.957637056756888,96.7753434684765,7.76571839070045e-23,9.44511761945064e-21
"WNT7A",4.09854799596876,-0.834038568055283,96.7257998850185,7.96248995976056e-23,9.58947838238421e-21
"HRH1",1.90467323390746,3.92594123226925,96.6928989057825,8.09591006028038e-23,9.65975294027884e-21
"KATNAL2",-2.57168360395145,2.72657440615768,96.6071507135663,8.4542389220054e-23,1.00092562626419e-20
"CCL7",3.49456088872654,-1.82785233616087,96.5976233126034,8.49501910684652e-23,1.00092562626419e-20
"PRSS22",1.61033992285538,3.48260298825438,96.1516422355119,1.06412572095321e-22,1.2460185149944e-20
"THBS2",2.73199188492421,5.5860388186246,96.0866878996566,1.09961696399848e-22,1.27962833366046e-20
"BTBD11",-2.74317047206578,5.05800540096189,96.0646349387926,1.11193404302671e-22,1.28602334841347e-20
"HLA-DQB2",2.95893010132019,4.66718459143078,95.8608102231543,1.23251176991185e-22,1.41678731014502e-20
"NXN",1.50105320868574,5.97941936061717,95.7722111994027,1.28892281582258e-22,1.46460616275865e-20
"COL3A1",2.81963831230016,9.32389131672359,95.7710961732273,1.28964896572213e-22,1.46460616275865e-20
"GPR110",1.8062473461719,5.20744600284368,95.3739634509232,1.57613037444506e-22,1.7792341209005e-20
"PLAU",2.55775351413074,7.6051879408186,95.3080994633737,1.62945112765469e-22,1.81928310097542e-20
"LRRN4",3.13404142738759,-1.09292676219797,95.3063298419188,1.6309083601997e-22,1.81928310097542e-20
"CDSN",2.67527928452487,4.00136940057191,95.2728375981708,1.65873537254774e-22,1.83943995548647e-20
"HLA-G",2.90557694073943,4.74223004104832,95.2114467760636,1.71098075980562e-22,1.88628124466992e-20
"KRT79",3.5040634440463,-2.64884241666633,95.1283314572921,1.78434669099118e-22,1.95572696619568e-20
"CCDC151",-2.89859767295753,1.89823353361726,94.8100019692934,2.09564103137822e-22,2.2836430476036e-20
"CFTR",4.01065205592352,-0.342064598926942,94.7528513230524,2.15702562621044e-22,2.337025695708e-20
"GRB7",1.5324736837112,5.29163061979746,94.6786498512743,2.23941534300604e-22,2.41242617407714e-20
"CYP46A1",-2.36312912011651,0.511857135275417,94.623381224894,2.30282177799328e-22,2.45270034795081e-20
"IL22RA2",4.16671378404306,-0.982683242143747,94.544983591745,2.39585496831123e-22,2.52347527453169e-20
"LCN2",3.44039378297645,5.68498329318543,94.5448280344092,2.39604325345413e-22,2.52347527453169e-20
"SLC6A14",3.94457184394912,2.06483680942298,94.2243268505902,2.81717036869401e-22,2.91809317530876e-20
"CAPN8",3.49911937575333,-0.234763710726258,94.152009763851,2.92199807988755e-22,2.99377759793697e-20
"EPHX3",2.43272757232702,0.749019662384056,93.7576785437819,3.56615976232164e-22,3.57602360847274e-20
"GNA14",-2.75418965619136,3.68711119303228,93.6907092512589,3.68888405380593e-22,3.67951545938357e-20
"SPRR1B",5.51760624022745,-0.459791491199251,93.4816269146261,4.09988746582664e-22,4.0466533249091e-20
"WNT4",-4.42834589717489,2.58191653180781,93.393599455149,4.28634643476516e-22,4.20865640563504e-20
"COL10A1",3.88585644409016,3.56319030082206,93.3781262729104,4.31998734826356e-22,4.21970992173392e-20
"MACC1",2.18287621963188,4.65306722818964,92.9489194065852,5.36615928435397e-22,5.16136912391026e-20
"KRT16",5.3511216513046,0.836774749445944,92.883118078475,5.54756974848627e-22,5.30877080702858e-20
"NIPAL4",2.59691207328794,0.528662107147326,92.8134920853555,5.74620833384481e-22,5.47108684392133e-20
"CD207",3.71712472701167,2.81812818190808,92.745172638592,5.9480330374146e-22,5.606615941067e-20
"EHF",2.66873485053465,3.97421408610245,92.7256645684906,6.00695307648118e-22,5.63398404964294e-20
"TMEM92",3.62026409151606,2.40165419421512,92.644241943813,6.25924265883655e-22,5.84154666358349e-20
"IL1RL1",3.93862018631824,5.04459649226825,92.1459963113016,8.05121378355614e-22,7.44026873762747e-20
"C1orf106",2.99357658870002,3.18963092662651,91.636307939144,1.041641641755e-21,9.44087895690641e-20
"MTMR11",1.54310078371261,3.63686996544697,91.6102266185369,1.05546139234675e-21,9.52036276005788e-20
"MMP10",4.36785028079156,-1.19454699628982,91.3169205554831,1.22409422398149e-21,1.09888687192853e-19
"C2CD4B",2.89338773794702,1.97419628374536,90.9763692165694,1.45398210940803e-21,1.29294673238492e-19
"DTX4",2.02334872227987,8.73322427047013,90.6992810136219,1.67254010116896e-21,1.46654539475522e-19
"CREB5",2.03763728618232,3.80336449011432,90.4416217748345,1.90515949498683e-21,1.65511828569086e-19
"UPK2",3.16967913897138,-0.8086160500071,90.4130870675081,1.93283444358408e-21,1.67145848304803e-19
"MMP11",2.76844343818758,4.56214426996895,90.1457647102413,2.21244477955388e-21,1.90452095818035e-19
"IFIT2",1.55670151022416,4.50001756526574,89.8633442103248,2.55191547294066e-21,2.15734127784203e-19
"LUM",3.15055696145645,6.73300262969749,89.7595099114179,2.68942455652966e-21,2.26343891695077e-19
"KRT5",5.51315142650176,3.32426387413169,89.4072830066241,3.21351385876075e-21,2.68058244536981e-19
"PTPRU",1.70979909074711,5.90512210904566,89.3839033797357,3.25171582359891e-21,2.70049985491131e-19
"C2CD4A",3.49342271408768,3.19049621736475,88.7247828066041,4.53744906981088e-21,3.7191299940902e-19
